city_id,corridor,society_display,society_normalized,supply_depth,resale_velocity_days,price_consistency_cov,rating,review_count,rating_available,society_fit_score,appears_in_corridors,candidate_count,candidate_listing_ids
bangalore,Whitefield,Godrej Splendour,godrej splendour,8,19.9,0.1689,,,0,4.3,Whitefield,0,
bangalore,Electronic City,Tvs Emerald Jardin Aishwarya Crystal Layout,tvs emerald jardin aishwarya crystal layout,3,13.3,0.0995,,,0,4.3,Electronic City,0,
bangalore,Marathahalli,Pavani Ishta,pavani ishta,3,13.0,0.115,,,0,4.0,Marathahalli,0,
bangalore,Yelahanka,Ramky One North,ramky one north,4,18.2,0.1166,,,0,4.0,Yelahanka,0,
bangalore,Yelahanka,Brigade Northridge,brigade northridge,3,17.3,0.0385,,,0,3.9,Yelahanka,0,
bangalore,Yelahanka,Sattva Lumina,sattva lumina,3,10.3,0.1678,,,0,3.8,Yelahanka,0,
bangalore,Electronic City,Godrej Nurture Electronics City Phase 1,godrej nurture electronics city,3,5.0,0.2751,,,0,3.7,Electronic City,0,
bangalore,Sarjapur,Godrej Park Retreat,godrej park retreat,6,20.0,0.2036,,,0,3.7,Sarjapur,0,
bangalore,Whitefield,Candeur Signature Varthur,candeur signature varthur,3,6.0,0.2879,,,0,3.5,Whitefield,0,
bangalore,Electronic City,Shriram Liberty Square Electronic City Phase 2,shriram liberty square electronic city,3,16.0,0.1197,,,0,3.1,Electronic City,0,
bangalore,Hebbal,Mantri Manyata Lithos,mantri manyata lithos,3,17.0,0.1149,,,0,3.1,Hebbal,0,
bangalore,Sarjapur,Urbanest,urbanest,3,29.7,0.1111,,,0,2.3,Sarjapur,0,
hyderabad,Madhapur,Vaishnavi Estates Fresh Living Apartments,vaishnavi estates fresh living,7,3.4,0.1687,,,0,7.8,Madhapur,0,
hyderabad,Kukatpally,Emami Swanlake,emami swanlake,7,9.9,0.1288,,,0,7.5,Kukatpally,0,
hyderabad,Madhapur,Bluestone Buckingham,bluestone buckingham,3,5.0,0.0,,,0,6.6,Madhapur,0,
hyderabad,Kukatpally,Nayans Nature Springs,nayans nature springs,3,2.7,0.04,,,0,6.6,Kukatpally,0,
hyderabad,Hitech City,Mahindra Ashvita,mahindra ashvita,4,14.2,0.0159,,,0,6.5,Hitech City,0,
hyderabad,Kukatpally,Lodha Meridian Kukatpally Housing Board Colony,lodha meridian kukatpally housing board colony,3,11.3,0.028,,,0,5.8,Kukatpally,0,
hyderabad,Hitech City,Aditya Capitol Heights,aditya capitol heights,3,12.7,0.0,,,0,5.7,Hitech City,0,
hyderabad,Hitech City,Rainbow Vistas At Rock Garden,rainbow vistas at rock garden,6,16.0,0.1079,,,0,5.6,Hitech City,0,
hyderabad,Hitech City,Cybercity Marina Skies,cybercity marina skies,4,18.0,0.0442,,,0,5.4,Hitech City,0,
hyderabad,Gachibowli,Smr Vinay Iconia,smr vinay iconia,3,12.0,0.0519,,,0,5.1,Gachibowli,0,
hyderabad,Kukatpally,Bhavyas Tulasivanam Avani,bhavyas tulasivanam avani,5,15.6,0.2002,,,0,4.8,Kukatpally,0,
hyderabad,Hitech City,Cybercity Rainbow Vistas,cybercity rainbow vistas,4,12.8,0.2493,,,0,4.6,Hitech City,0,
hyderabad,Gachibowli,Mantri Celestia,mantri celestia,3,19.0,0.0985,,,0,3.0,Gachibowli,0,
hyderabad,Gachibowli,Gauthami Iconia,gauthami iconia,3,21.3,0.0551,,,0,3.0,Gachibowli,0,
hyderabad,Madhapur,Ayyappa Society,ayyappa,4,38.0,0.1955,,,0,2.9,Madhapur,0,
hyderabad,Hitech City,Jain Srikar Auroville,jain srikar auroville,3,30.0,0.0619,,,0,2.4,Hitech City,0,
hyderabad,Gachibowli,Jains Carlton Creek Phase Ii,jains carlton creek,3,24.0,0.1987,,,0,1.7,Gachibowli,0,
chennai,Sholinganallur,Urbanrise Whispers Of Sky,urbanrise whispers of sky,7,2.4,0.1061,,,0,7.9,Sholinganallur,0,
chennai,OMR,Tvh Ouranya Bay Padur,tvh ouranya bay padur,6,6.8,0.0713,,,0,7.1,OMR,0,
chennai,Sholinganallur,Ncc Urban Signature Towers,ncc urban signature towers,7,8.9,0.109,,,0,6.8,Sholinganallur,0,
chennai,Sholinganallur,Casagrand Hola Chennai Elcot Sez,casagrand hola chennai elcot sez,3,1.0,0.0,,,0,6.8,Sholinganallur,0,
chennai,Sholinganallur,Zion Park,zion park,3,1.0,0.0218,,,0,6.7,Sholinganallur,0,
chennai,Siruseri,Pragnya Eden Park,pragnya eden park,11,9.4,0.1406,,,0,6.6,Siruseri,0,
chennai,Sholinganallur,Embassy Residency,embassy residency,5,24.4,0.0472,,,0,5.6,Sholinganallur,0,
chennai,OMR,Urbanrise Revolution One Padur,urbanrise revolution one padur,6,19.7,0.1172,,,0,5.4,OMR,0,
chennai,Sholinganallur,Casagrand First City,casagrand first city,5,3.6,0.1693,,,0,5.4,Sholinganallur,0,
chennai,Sholinganallur,Dra D Elite,dra d elite,3,1.7,0.1083,,,0,5.4,Sholinganallur,0,
chennai,Sholinganallur,Prestige Courtyards,prestige courtyards,3,3.0,0.0935,,,0,5.3,Sholinganallur,0,
chennai,OMR,Godrej Azure Padur,godrej azure padur,6,19.5,0.1775,,,0,4.9,OMR,0,
chennai,OMR,Bscpl Bollineni Zion,bscpl bollineni zion,7,41.3,0.1682,,,0,4.5,OMR,1,7936
chennai,OMR,Tvs Emerald Verde Vista Zone 11 Padur,tvs emerald verde vista zone 11 padur,3,1.0,0.27,,,0,4.3,OMR,0,
chennai,OMR,Jains Inseli Park Padur,jains inseli park padur,4,46.0,0.0602,,,0,3.9,OMR,0,
chennai,Sholinganallur,Kg Chandra Vista,kg chandra vista,3,34.3,0.0714,,,0,3.5,Sholinganallur,0,
chennai,OMR,Puravankara Purva Swanlake,puravankara purva swanlake,3,34.3,0.1162,,,0,2.9,OMR,0,
chennai,Sholinganallur,Casagrand Royale,casagrand royale,5,42.6,0.2219,,,0,2.5,Sholinganallur,0,
chennai,OMR,Dlf Gardencity,dlf gardencity,3,20.7,0.2205,,,0,2.4,OMR,2,7876;7980
chennai,Perungudi,Casagrand Esquire,casagrand esquire,3,37.3,0.1699,,,0,1.9,Perungudi,1,8330
